(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
69995.93519,76199.10984
80591.01089,102832.311
76083.68559,83100.5805
64324.83378,79283.60017
77522.37045,90017.00734
78154.69055,89620.81886
85837.27596,102174.7284
80701.3092,92540.54863
84499.09326,84879.82761
79918.18204,91575.64805
81132.64625,87793.7296
77785.05312,84970.07653
73549.78164,84530.57376
71524.3717,83638.31191
73660.77585,85651.44866
67639.99618,81084.40531
84690.47484,103289.4543
80891.84975,86210.46528
70789.81151,77030.47899
75052.09969,95093.45667
70002.22469,87752.14374
81193.75254,86943.55188
76169.72071,85844.89761
78141.06782,85407.84514
69222.22093,87825.85231
81491.88923,90436.10708
70947.89271,79901.3744
82316.44635,96892.74339
82755.89476,86940.50593
73398.34811,79047.66926
79713.8287,92789.92716
75767.57752,86326.85183
77610.57459,86889.10399
76070.67582,82023.80872
78604.17732,92487.86957
91101.3059,106368.5195
77828.63815,90263.72668
78403.10457,99047.93751
89617.00297,96011.94829
69314.27898,79484.66531
78352.7664,81216.15066
67967.23746,79629.45812
77367.10782,86541.24661
72470.34931,88334.77878
81056.59003,90735.60464
67603.0787,82403.31836
65463.87723,75206.80115
66347.65308,76003.8092
68924.83721,88499.17686
68674.45604,76312.90132
75032.78099,82083.92405
77095.69458,87742.56481
76736.13667,87070.23987
80330.89229,87367.03602
68017.54121,81228.31066
54944.10726,81174.67954
62897.91043,83874.74045
67610.88554,75173.83392
72798.00203,88944.27648
70628.29424,76898.28994
65965.3042,76306.45214
69329.14365,86253.80747
73872.67818,91052.60884
71433.7959,91282.68531
79113.73966,95209.34694
75061.39333,87159.19228
70218.48481,76460.40636
86679.89242,106185.7783
69211.01953,80852.52063
80084.6463,91905.0773
80955.79527,81327.1464
78818.86664,81696.8452
84242.41471,98817.55281
76156.76557,92236.03446
70179.25147,79917.59867
75423.59767,92938.4762
68609.96568,81851.39223
78366.91461,93998.49144
69001.60326,74628.78115
77986.16512,90614.21149
69536.67208,81018.96387
74073.52322,85475.18436
81471.27541,101119.049
64633.35665,86943.12824
77434.785,92075.79803
72799.48185,93154.39412
87175.94935,90460.00563
72190.23488,80912.0841
70877.76719,90772.01912
78907.08108,95359.24583
76471.79001,93530.01761
74827.53501,80070.38677
88191.15319,89384.17792
72342.17011,88487.67578
68510.68153,80315.55801
72570.70831,76097.75005
68974.91622,89155.61602
75497.34726,86911.72153
78790.92897,85041.69403
57725.96487,68753.43196
85635.23103,95365.40514
94404.64028,105470.3542
68453.2195,87086.82967
80468.51732,92496.28175
74624.69147,77079.79815
72823.29774,88282.70653
91519.18969,86792.42058
81290.50177,95743.76248
69578.37491,74100.41192
82090.87224,85326.37378
82290.39628,93881.27252
72281.64525,83327.72558
87167.32798,91188.08586
74111.8635,91641.07367
71895.02766,76689.97612
90337.73148,107891.5593
84751.19075,92415.76888
69855.69578,80798.70381
78065.44263,80836.89757
76742.97576,84053.13112
76717.74878,89839.11194
75231.98146,86686.86303
74043.49449,84946.62543
80563.01461,88422.99888
82177.86198,87736.18679
76825.63713,87869.88325
78635.95409,88488.99507
80893.39157,92088.75791
75936.08354,88253.35914
64580.84742,75741.31666
73446.88847,82852.32189
67576.42059,78928.79372
66250.58261,73208.47277
72246.94275,81433.19622
73451.8185,75005.37538
68182.15938,81369.7148
81886.88841,93155.13408
69937.14806,88262.88766
84226.27303,88880.76588
80533.13653,87613.77095
75646.09057,87873.69506
76735.08124,77955.30455
85698.28704,120777.2804
81318.71248,87888.34849
74861.54189,81906.19199
78594.27275,92182.91634
83238.11783,101104.0882
62557.41253,78622.90123
76505.88388,85496.66698
78224.66478,86960.65367
80579.66972,101521.0714
81505.12564,89952.9464
86418.86652,98421.65677
81107.12365,94550.96582
81329.14805,95280.71934
80962.10328,97485.42997
79050.87204,101193.8752
72828.43759,77417.32163
78216.61386,83897.06905
67980.69041,81068.33032
82842.17346,102918.4144
72102.85514,81971.55806
77778.56436,79651.65588
82996.61584,83346.60493
79516.05297,90887.788
79802.36915,93625.32273
81935.00686,100334.6403
83227.05556,87463.64168
73457.83856,81137.23692
76420.50888,94676.35794
75265.19512,80887.64305
70593.33564,75182.03027
74389.62548,92712.48836
70135.56547,86734.61493
78846.09021,92773.58528
69592.24406,78474.9163
71142.66503,84349.15682
74474.27632,84420.4944
82670.64053,102319.5762
71784.69312,74609.25627
85693.2957,97005.87789
69561.51441,81077.74818
73841.24244,81744.9839
81257.08995,77666.71001
75679.08177,83958.11052
76693.49681,84294.21953
82996.42019,94040.97556
76006.84452,85012.13471
69828.55532,81886.52974
70101.97542,85908.95035
67640.7626,77063.86141
71260.14471,79539.08952
90292.57453,95745.05928
79852.18594,93966.28433
72925.34144,91619.948
68049.72417,79354.09099
75702.57723,92204.95184
80035.98803,105127.366
76965.09485,83177.45944
75449.95366,84829.13232
71942.70817,84330.12592
78045.58918,89515.37155
76704.17184,98570.02068
68771.21724,84866.87072
72306.1579,79574.99632
72500.21158,87396.79135
85823.41909,95178.4966
93039.22063,102638.0697
75527.81039,83019.92066
69365.72279,88879.82268
73237.74726,83490.25428
68647.99849,84270.47494
66092.23018,81047.35302
69624.55484,83590.75488
76159.36723,90489.98188
75438.14096,87249.97489
70126.14697,80978.95692
59003.76298,70850.97044
74812.79285,92709.89783
77084.53648,90377.06415
65837.00213,74370.73497
71775.84643,89034.43276
76755.90111,85969.21975
70786.89771,75978.14232
75618.32988,89477.47742
62827.07069,70888.77399
75912.77718,88029.51207
74765.14409,77140.06412
67107.20149,78822.34699
78146.92474,85862.15418
75087.25972,93410.91295
77887.30499,81978.6364
92172.97534,107586.8001
81729.52218,92625.35592
64733.02479,66532.19599
72980.30784,91865.25168
85441.14181,96625.71788
70670.27291,83288.74598
78958.39978,92330.07826
71494.37875,80325.67902
71978.59277,82438.43571
71784.80616,83064.04385
74854.4778,83393.01892
71608.22642,76528.17975
69930.82158,81823.80857
74041.92834,83434.26421
77708.76107,84863.49539
74089.65989,83572.15555
77116.17657,93152.86933
79181.52172,85710.74105
75352.35936,74308.5985
74512.27977,82012.96374
75196.39114,78819.04706
69158.95932,71693.24781
72662.52219,89650.53845
73443.27853,86110.8519
66012.47092,75390.86494
79488.26801,85719.8467
65095.24265,72242.11927
76611.11619,87997.79113
78974.52568,91746.8515
79101.73964,90497.70401
74901.66687,90248.11704
80894.7814,95486.02864
78583.66047,98443.39603
69630.20125,83163.01285
79909.39804,89039.26465
79626.73473,83599.19126
89572.45006,94548.44835
73959.11248,83937.21944
72091.80965,81254.68805
59400.94852,72819.57752
73364.74847,96560.35376
81741.77053,85376.78329
76336.55918,100521.1726
78125.52541,80367.1074
68805.74852,84121.82161
69540.99001,91451.95626
68234.74777,79699.21991
76976.35958,82562.68921
80830.05494,91424.13676
77642.21794,85442.28024
76696.78511,98332.41179
