(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
9.278963505,10.06993355
6.82364906,8.777027577
6.079916688,8.951646186
8.583327164,8.835562234
6.297158683,7.534548901
5.797622585,6.715343888
9.573553213,8.967699602
9.416352665,4.751832046
8.452208153,8.618458569
6.756700343,9.64751521
8.657580587,6.814001243
7.547061868,8.758332642
10.8647334,10.07275158
9.243745435,8.669615559
7.651087786,9.457273924
8.666169334,10.02961944
7.896772439,8.10654286
9.7857386,8.527044315
5.745750392,5.562967513
7.407569623,7.167007775
6.256169888,8.059501531
7.663533505,8.494541464
11.65060266,9.323249517
9.164440361,7.566072956
10.88021509,9.663992121
8.130876024,8.38925455
9.716558796,9.665372861
5.675527729,6.525361817
7.760200336,8.34683645
8.561723263,8.262360563
8.027750778,8.780344808
5.85996833,11.13235155
7.987050423,5.85488007
9.35022372,7.631463088
5.976477731,9.546579882
9.079798868,9.328362131
9.083534539,8.545332559
8.120246767,7.204808074
9.597205656,6.28881342
7.184915045,9.698286481
8.198140898,7.391059885
9.960250619,9.76977828
9.551185797,9.278694073
9.572729116,7.625418148
7.492719401,10.78418289
7.577608447,9.967393217
7.545463208,8.571512161
9.633153019,9.054737007
8.475618261,9.358241646
8.225524293,7.071270139
8.892126445,8.019738457
10.34381473,8.625763882
9.666901898,9.441995757
7.400438544,9.519248207
8.795939169,9.375982071
8.782205074,11.01868163
8.393269572,8.589762631
9.756766868,10.6529118
7.784393427,9.655064794
7.679141025,7.763660436
7.456074192,10.254112
9.248723083,8.885093381
7.857421183,7.082890479
8.672798624,7.961592801
9.03516786,5.780210628
9.076754312,9.373702709
7.976068386,7.552756779
9.283628751,9.433704398
6.979332748,7.392759282
9.436180908,9.492033083
8.978265471,7.317270025
7.735423501,7.547194804
9.737915808,8.634960036
8.278402572,7.631701187
7.077744597,8.633542158
7.769932872,7.837313338
8.737081905,7.965676358
5.406769071,6.993538672
6.007498407,6.220822261
7.917967498,8.850144964
9.407358053,8.730625972
8.455820478,7.84457517
6.336509818,7.136908629
7.778287545,8.180382506
9.758584283,10.8188244
7.384588425,8.816524012
8.913832175,8.238034435
9.364466874,10.44144405
10.18822189,7.711561876
8.962809527,7.751291898
6.866259659,8.886646243
8.50491608,7.469768142
9.762963562,9.432828605
10.00552864,9.632048925
7.572276769,9.33216694
8.0850438,8.245856322
9.827550951,11.07380047
6.479091302,9.309247337
10.10511817,8.948379665
9.401877498,8.691714154
6.547607576,5.080448262
8.772476534,9.321444138
7.6604061,7.715851983
9.255722883,9.073900367
9.304245204,8.614277388
8.414906394,8.337459251
7.491911981,7.303920687
8.206229693,10.40725135
7.678418805,6.509618619
7.175616984,7.927759233
5.80633705,8.622194926
9.144249897,9.930897832
7.559113502,7.936253019
9.695881873,9.139585875
7.730790844,10.03134377
6.6824129,8.372577915
7.943014703,6.795548124
5.827646138,6.715376985
10.08389163,11.11147523
7.987716119,10.54594045
8.137913621,9.759758129
9.986811456,7.23114073
6.554746042,6.53896053
10.40686193,8.107453061
8.373441169,6.789071916
9.327752417,7.494804733
7.349559149,7.494988865
7.06353053,7.422012509
10.32382365,8.029038141
8.060440059,10.48206977
6.723505067,7.087485858
6.746416267,6.76817732
7.727360696,8.962742757
7.524123242,7.711994197
10.04312659,9.176328932
8.217192772,7.171066879
8.609285497,7.64744697
9.003285573,8.536981921
9.096170636,9.572555623
8.485267155,10.78679039
9.490404927,7.977380313
9.059561351,5.62172904
9.352830747,7.531307314
7.677110996,9.134347674
8.354590966,7.26883639
6.279303635,11.23756496
10.63736013,9.732707476
7.654959397,7.625342161
9.449990946,10.77588209
8.905679565,8.20984633
6.276769236,10.89570812
8.796753584,9.143381067
10.69942993,6.003707029
4.012426567,8.183291776
9.309831788,10.47705125
9.975270415,9.087783415
9.382435699,9.060499215
9.052172925,10.71740322
10.20996846,10.02374355
9.10215816,9.910766077
8.836898363,9.197785069
9.264734632,7.577885144
9.148446906,7.413133063
7.947225015,8.372972615
6.695455169,6.713095058
8.920665565,9.590237704
10.43281394,10.31339331
5.182361613,6.284359712
8.456856221,9.090625073
8.501749269,8.142836489
7.630523966,8.632435827
8.751064257,6.66934356
7.463129142,4.813397187
6.349235621,7.22467453
8.657535482,8.116243849
6.626233926,7.917221042
6.310945892,6.784164802
9.913176014,9.208522218
9.606679059,7.604039235
8.821601565,10.42403099
8.083930996,9.343065585
7.711408872,9.374332924
8.08857322,8.618152622
8.226109823,8.176531551
8.217454379,7.954282034
8.800427828,9.059280571
8.782108216,8.960691548
9.514233884,8.781209983
8.084962079,7.713253029
9.377919988,6.934952143
10.17546954,8.369138151
8.598539563,7.46567821
7.329398768,9.842993921
6.91465082,8.71955069
5.844295623,8.580453408
9.640578437,9.373732098
5.876484344,9.445938592
6.834055733,9.596369918
10.20342706,8.851208722
7.048167973,10.52074863
10.29323724,7.380064191
5.499076196,6.639449346
9.870340344,10.02673671
9.368480064,8.413598131
6.175727726,6.336458258
7.484820107,7.992298833
5.252442871,5.284815515
8.452782094,7.584977947
6.584259798,7.943516025
9.404139016,9.616437422
8.423645194,9.116207598
9.479937713,8.567660499
9.666615517,9.281269644
7.546416084,7.130894994
9.390093234,10.68854412
8.52589543,8.98796984
10.14738075,11.6646903
6.261481921,5.578347937
7.570721703,7.738417899
6.67528087,5.56538025
10.77310728,9.385922328
8.298720862,8.336014019
8.597725967,9.635748076
7.377357346,7.780339213
7.649670438,7.766127727
7.76963501,6.921012344
9.091019098,9.333226077
9.792548765,10.38222042
9.165417406,7.752624791
7.903073392,9.688262208
8.695154366,8.798758708
8.3699155,9.670248254
9.320504028,7.97627876
6.633183476,5.608985578
7.035241109,5.560547676
7.085471666,7.375627094
7.115830234,9.216481225
6.958262379,5.462592255
10.07819124,11.13464407
9.783445838,8.531695021
7.254717735,8.052936731
6.763400957,9.383154666
8.148247684,9.434463043
9.843492232,8.664161803
6.098243927,8.756112165
7.540906555,8.089850718
8.723250599,9.756577802
7.014436475,7.797560913
8.633751604,7.454117562
9.911162929,8.011121902
7.264558275,9.318249122
9.521941853,6.913587156
9.347777484,10.50994822
8.804222654,7.485481404
6.850187977,8.755557923
8.514664201,8.711449915
6.793019276,8.843352714
5.832842404,5.543559741
8.49088253,7.656682182
7.514430508,8.895112592
10.31936545,5.364763166
9.241037051,8.111585981
8.241917716,8.232165269
9.982919822,10.01432198
7.867430611,8.148986928
6.909126235,8.549295252
7.517089743,9.544216044
8.584572717,8.563013056
9.100778038,8.954843345
6.973061523,7.823297632
10.60806591,9.04301191
9.047563117,9.240058561
9.413184527,8.392608464
8.34391891,8.669585694
5.286879081,8.162311934
7.865805758,8.673951591
7.979595132,9.365993888
7.682180928,7.400948152
9.014949872,8.436684858
8.852282477,9.489335071
7.370204213,9.611205719
8.602865051,6.194266295
5.534502555,6.451796956
10.4678061,8.308079127
7.69758222,8.42905703
7.549170019,7.369172294
9.625141116,9.004345696
9.583868957,9.469560393
7.025810403,8.480826789
7.681774891,5.797796285
7.857370426,8.080992241
7.934160795,8.277083578
8.446099227,10.63007976
9.179258846,8.685957506
7.078756959,7.507047778
8.710345027,10.04293905
6.927880556,10.58536363
7.886268502,7.110624986
6.579481277,10.29072572
9.764575821,9.664282942
9.041334997,9.949843783
7.294687953,6.77326598
9.073430515,7.970104784
9.664826548,7.360368513
8.836193313,8.547159868
8.239411715,6.821790829
8.904896198,7.323590684
9.418350087,8.930426253
7.488847841,8.403657953
8.396073377,9.121963605
8.590515809,7.728586777
9.053714873,9.072221464
10.20653571,10.15649753
9.436069587,6.701680288
6.793634635,8.746091037
6.632746493,6.543639453
6.33787764,10.83831924
9.505217752,5.974263605
9.099515082,7.92833835
8.589010267,8.639194311
9.28586684,7.107191481
9.110888297,8.612535786
6.996996371,7.049759814
11.12221755,10.57440415
