"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)"
78140.37614,69160.18161
69833.6601,60272.15772
77987.70321,76284.62964
69797.93864,66199.44772
80619.71569,80918.60128
74878.92572,74037.26205
69377.23122,70100.20111
64135.5474,63051.69486
74420.45707,70885.81506
77540.27381,65093.55733
76352.48067,77554.09288
74080.84637,71483.56598
81267.68502,69770.39488
70636.0991,70659.29633
66305.71159,61527.1912
76553.03528,74044.07239
64076.57555,61235.93925
72528.66091,76159.4569
73733.89835,76637.13178
73951.09916,77830.82026
81020.08772,78091.07576
74171.82071,70130.10029
74122.43334,72904.66775
73014.83291,74485.13257
81133.67246,78522.8267
67736.29993,64010.41441
80035.36029,67039.67693
59097.84418,60500.1685
79409.09419,67910.71448
71929.26856,71153.29832
77416.33806,79668.779
75806.0098,69958.22184
73869.65545,70282.2259
69723.34868,74146.50744
74427.66486,77162.32541
80983.96083,76811.97252
87620.41983,83557.17498
75480.39685,75070.60619
79391.47901,69145.47033
77172.29147,70651.46159
76441.55489,68400.50716
78126.86854,69749.75516
72498.21648,62544.36551
68124.41407,65199.70679
65996.19464,66113.44339
79989.70342,76872.50463
75821.58988,77915.95047
75759.01359,64025.33783
76307.76625,78780.5476
83269.76661,74697.37808
80748.28778,74162.44311
74374.11268,69153.32763
92437.92453,83584.06516
82967.25463,77269.40426
83503.96361,69860.91224
84177.33123,85442.33385
78672.48791,77566.62552
81782.44321,77015.17264
75023.5759,69503.0817
77488.77009,69181.85084
72033.15649,68765.16655
81086.97778,85999.05485
92031.72586,77592.62535
69543.99955,68445.41749
70994.90305,66670.71411
68758.55117,72918.01823
78298.22679,74547.66825
64872.6318,67035.91426
73362.95683,70523.88404
82937.59615,76320.31566
75803.4288,70486.8954
78322.4051,72418.10994
75985.69527,71149.40809
81682.71435,69875.33505
70630.77878,67674.78846
73400.45417,73899.45489
69767.8299,65680.86527
69342.49399,65323.86917
73467.12943,81681.67268
73945.35123,72904.76241
78337.6284,76926.99121
72345.89136,63712.99
75072.60703,77889.22931
80955.04276,76165.11459
71083.7838,67991.30178
61401.42804,61830.10679
72894.64392,74604.67567
72839.93876,73927.00137
70607.02442,69602.43831
62405.01902,58101.28777
67702.43631,63734.50126
78921.92593,79110.41593
83576.69551,78334.58667
81139.18836,82514.64224
73954.58173,68437.7631
72026.97225,68341.69618
71959.24753,66800.85382
75685.44655,72205.86822
77627.18355,84966.47707
73628.11907,65822.63762
74297.68493,72885.93371
70065.4033,70990.55448
69910.18853,65176.22257
68020.65553,66366.71801
71535.1656,64926.56009
65054.59945,66661.18823
72216.46334,71455.37981
68429.19242,69679.02255
75879.20403,72880.42433
71180.43002,76218.09921
79256.64877,75489.17845
67215.32219,70528.2473
72178.07358,66798.67003
77481.50235,75485.63078
71169.33734,66762.90122
83286.70693,80269.2602
67660.69307,66930.37798
70961.33014,66049.15791
74083.65754,64532.19232
67245.89678,71698.4436
79122.11952,70172.08412
72963.04555,75615.64521
75734.15336,71952.73275
71882.94372,68510.16144
66523.50973,62752.27553
62266.35754,70958.94861
72518.46581,70987.24545
74357.99148,76318.40876
71698.23646,68210.67733
79625.96983,71960.44223
69257.61978,65993.47003
79454.60227,78765.26193
90557.05148,82234.1821
76000.45592,69847.32061
76529.50009,78849.71473
69897.73846,64200.76895
78154.50742,70336.92077
76970.51294,75266.9087
77088.32245,67241.88629
83242.09327,73700.77521
62207.5259,67825.3364
72579.90535,69765.31608
68920.25979,65087.9884
67007.93381,66793.80329
68638.4181,74079.9746
75873.18944,71336.38999
78082.94707,78757.67112
67862.70393,67622.3211
72270.43272,65076.98105
74730.94191,69943.83734
77046.05572,75348.88964
71737.58128,68954.91671
72667.87479,71072.68327
68084.37452,69229.34857
78405.95398,78475.4612
71718.96576,67543.10555
71191.71884,68979.22379
71743.66769,69824.0206
65827.86923,67457.50873
89062.26915,77649.20353
81165.24796,80396.53037
84811.13523,76972.80941
69214.07797,69012.13418
82687.74089,79387.89164
81186.43152,78724.26453
76797.52642,70558.82569
67999.22412,75958.09963
81657.05893,73908.7878
75213.59135,75322.50519
76954.46378,71595.05956
88500.56726,81467.44826
74325.5901,78283.63716
84112.32988,72395.33891
75570.57766,81386.26025
74470.2344,73076.71722
75575.98136,70268.63408
84877.54477,83748.67023
