"Effectiveness
(Threshold Usual care)","Effectiveness
(Threshold SF < 88)"
9.358510455,8.895141431
7.311614172,12.06602259
8.953945353,7.166917481
7.203961896,7.510819366
8.421170183,9.767054593
10.09615679,9.990341173
6.298159481,8.221116015
9.933473794,9.491088282
6.328224616,7.951908145
6.37024957,8.688450172
6.457352872,9.168684582
8.463942414,7.922306553
6.556660595,9.11194659
6.979827099,8.627085739
6.412073485,7.602840481
8.734610344,9.177398032
8.449430323,9.524559936
4.589960188,6.819123906
9.029016607,9.243552827
8.000889964,7.088574391
7.956559179,8.498249604
5.891163336,8.084473824
8.789024252,8.763489878
3.867115265,8.279832418
9.521077023,8.65766621
9.574602272,8.467890376
7.370788375,10.2814612
10.13130513,7.448008646
6.792200759,6.060162814
8.297701359,6.936717714
8.175405118,6.298450182
9.001525765,6.910872722
8.114561228,8.464998641
8.886656113,5.76583438
7.061041176,8.1921841
7.833959252,7.437703946
8.085405358,8.13803458
7.650854464,7.334627713
9.075126677,6.907077958
9.500385133,7.651669656
7.494753095,9.96015881
8.071936161,7.644144653
8.224747775,9.124124441
5.70513743,7.508597154
8.758933401,7.073390608
9.682910576,7.822095645
8.522614889,9.82655629
8.498878965,7.359630461
7.691258361,4.911409333
6.890628297,9.769010599
6.456844615,8.990467534
6.82663543,6.774490539
9.197482577,8.608903959
9.440159736,10.39076084
8.81064644,9.998732042
11.26107956,7.589882005
8.4526961,7.226890272
7.903539396,9.704881401
7.849141445,5.056429718
7.832657269,8.049921047
9.754043293,5.989560916
7.527188427,9.350361483
8.928094233,8.635342618
10.0263632,9.80627307
6.990727878,8.313999797
8.28804589,9.911260742
6.480292458,9.695631912
7.128903154,8.692433558
6.7295539,7.937994259
8.761801248,6.323241165
7.514047827,8.298214296
9.217608748,7.133752611
5.343372092,6.473574813
8.381114662,6.6154675
7.218789481,7.285826695
7.445116028,9.510590227
5.281251663,10.36162278
8.995031618,8.244248374
6.890239756,7.963409195
7.989759549,7.143872016
7.625653478,8.423433584
6.736275428,7.779652543
8.225096296,7.45691678
7.512783307,6.56082854
6.792525362,7.050156523
8.148128388,10.52271036
8.18840031,9.673263013
10.50718209,7.837386449
9.932806249,10.1312156
6.734193467,9.127027879
8.555517255,7.860828001
9.7738757,8.320908083
7.501416098,9.415444333
7.636992628,8.091481223
8.22055046,9.190091929
6.853939739,8.299854706
6.867821554,9.910414208
6.841113957,8.455155007
7.13626667,7.154604426
8.353980264,8.418280394
10.08255258,6.657913787
7.798464937,7.596365043
10.75109722,9.363528577
8.73945105,7.897607055
9.558300904,7.920326001
7.398540194,7.791755132
8.247849518,7.625060026
11.11000677,9.640164449
9.127873787,8.043108322
9.461287563,10.46681345
7.576406743,11.23402072
6.197684999,7.312822248
10.04040667,5.181996522
7.833326422,9.045613999
11.16009668,9.825955715
8.841876577,9.842137701
9.042714264,5.174485487
8.5385022330000009,8.808427926
7.119964576,8.066219268
8.115129991,6.620851346
9.053996834,8.03253432
10.09391714,9.301480935
7.425372275,6.770172238
8.249624149,11.82615998
7.016892046,6.863593081
5.610011873,8.796713207
7.573185861,9.671108388
8.543948192,7.555537089
9.767302043,7.568208213
7.891744308,7.91752311
6.734670721,9.011448239
9.402439962,7.971661658
9.69724415,9.015965877
9.156946252,7.425452856
7.349610544,4.829208074
10.54717305,10.035115
8.606881698,9.013212282
8.043181499,9.491744955
5.784111315,6.769563744
9.166522616,8.025475991
9.590685149,10.30301535
8.247237364,10.68147218
10.45567017,7.468031149
7.240977435,5.585812585
8.461057102,9.273791057
9.036571463,6.091377684
8.919771642,5.957166687
8.48258353,7.558964116
7.972240541,7.948071674
8.089739122,9.596644535
9.018072353,6.341712992
7.604352806,6.914304814
5.310771304,9.45806938
9.729728795,10.0192851
9.953302684,8.057754829
9.43056259,8.054705904
7.923557139,9.736103503
9.22206687,8.264100301
5.948711442,8.157523781
7.002210913,8.499151428
8.464182937,7.694931026
6.838044162,6.708556238
8.628616857,9.09509586
9.289429741,8.939592289
7.605791021,7.823425732
9.110526328,10.1022995
6.634765904,9.16760118
7.296479589,8.079337292
9.433286614,8.833396985
7.118917563,8.936376687
7.31052546,6.711023644
9.11726097,9.672558353
7.348370359,6.775651153
7.5594708,7.416785379
6.404470817,6.081943889
9.028839322,8.165181692
10.05831843,10.18876127
9.300015334,8.340339801
8.707179099,8.683026552
11.91676082,9.763680525
8.557174248,8.212554522
9.658471763,6.911935754
8.476569011,5.512621066
10.38039679,8.852651461
5.949266279,7.641805207
10.16985881,9.165626206
7.731790936,10.15606332
6.802912882,9.311970406
9.751974395,6.677845775
7.3652773,6.72899285
7.729786951,9.047588442
9.594174931,10.51944415
7.081555926,6.083835886
7.081387217,8.411296738
10.21323094,8.931869011
9.476868345,8.533930955
7.867633607,6.80176068
8.279304377,5.842696709
9.052113475,8.93128583
9.88743313,9.531611809
8.548492722,7.581916333
9.333133568,9.301507958
7.2548262039999996,8.979610007
6.332145641,7.393464574
6.856276957,9.476735771
7.77800755,8.68397644
8.426830456,9.840754839
8.722877268,8.792643215
7.492458355,7.427582657
7.801830247,6.670465137
8.186583646,8.341415802
6.653496257,8.595215002
6.959336144,6.597721907
8.20449751,9.230027601
8.463298499,8.71005195
10.09257452,8.227382476
7.823173201,9.2713975
7.49666669,5.198454421
4.845432348,7.964831731
9.169556299,9.910591496
7.267380007,6.28743073
10.74597905,8.21059174
6.187609748,8.488954407
8.517689597,8.537441946
7.242046951,6.268900999
7.536780226,11.58203129
9.647853276,8.479651376
6.911123834,6.169512332
9.239910346,9.764666114
11.04799534,9.202956835
7.98354762,6.684627707
8.046853996,6.734847558
8.617460577,7.105483523
8.406871464,8.518300963
8.00589608,9.213218925
7.529827937,6.870662456
7.010261216,7.415828526
5.543167683,9.306865963
6.775801317,7.973134949
9.678354281,7.805993969
9.834210432,7.539689734
7.484421735,7.569820968
7.629130726,9.847596201
9.34948272,10.32822252
6.219493333,9.894956217
10.24196857,5.939991402
7.569430369,8.254970953
9.65807578,8.32088409
9.585495629,10.72339926
10.27511708,9.063255077
9.078207062,8.004991314
8.87557708,7.467437705
8.395838649,7.475253486
6.859692122,8.47772817
7.828866474,8.725528345
10.6521348,10.2967571
7.888053041,7.555299977
7.1491785,4.586901404
9.348011715,7.950736685
9.92279489,10.22161007
8.139852522,9.555505313
7.490051221,9.122700154
9.502990718,6.754767941
10.27140396,7.924808527
7.907167774,8.254886789
9.791731418,10.46588816
7.631261262,10.39767527
7.71078899,7.990605356
8.869582939,7.15320835
9.37127141,7.499104264
8.106807153,8.276300083
8.372414158,8.437528763
9.671772652,8.784194929
7.734351401,6.432818315
7.274965297,8.439881145
8.230429993,7.909127633
9.475707213,9.47518901
6.893130919,7.488820902
6.416130614,7.03151582
8.85879334,7.004140163
7.33015362,5.348889439
8.102316908,7.457911271
10.18589377,8.813633142
8.042383394,7.314308537
8.495238697,7.776219009
8.60553165,7.407203224
7.203154318,6.314071135
6.843033659,8.024041686
8.421799423,7.181505877
7.358280636,6.255588448
8.987023608,7.529028065
7.59101362,8.713156443
7.918240419,9.849041564
10.8540853,7.481264283
8.905992331,9.488057743
9.776084393,10.61681587
10.40214056,10.92491193
6.332627267,8.911938106
10.89217776,9.888053997
8.333724084,9.619424137
8.496999124,7.94311995
5.326942145,9.453552472
12.08901446,10.14947292
8.445760047,9.093158963
6.876156068,7.209059483
8.931510714,5.847051966
8.95617087,7.599094022
9.292999066,8.230832396
8.261386913,6.587961962
3.755666495,7.352845361
6.354889776,8.09495892
9.41289755,9.872375421
6.732707461,7.044567332
9.826276054,9.561158536
8.884632309,8.949973635
8.957669222,8.466461579
8.016773326,7.744195346
8.017856935,7.728362728
7.816081601,10.28105938
9.330380124,9.02074429
7.529296906,8.210313712
6.651525088,9.987757339
9.668476922,6.956172653
8.79472931,8.701751796
6.726590309,5.036284592
7.328969714,9.47304158
8.29411894,8.910183422
8.354833557,7.191403553
8.996724403,8.608649321
6.073385505,8.546260304
10.40543854,9.400515147
9.723049739,8.626786627
8.505725789,9.329993722
7.113344758,10.4897375
7.806959685,7.191664292
6.730910804,6.821104295
6.311560191,7.467563463
10.10437807,6.117354792
9.841749201,8.744680235
9.731731983,6.911701752
9.139131803,8.439721705
6.754042938,9.050864796
9.211666983,8.889501688
7.91067822,8.363766941
9.550990911,8.673865658
8.985252922,7.982944585
7.935501582,8.121350274
8.376241594,7.62633709
7.12511338,5.607038734
9.509426926,6.336235989
8.297368097,7.925710811
9.835701537,7.899278973
8.415336937,9.393076442
5.795993385,8.623160438
9.279839198,5.921030473
9.643889878,7.047666291
8.521405926,8.204716469
6.376635341,6.469206384
8.664447415,8.098300592
8.866374786,7.734149905
8.305290917,9.226240953
9.46255786,7.643778478
7.139285977,7.885696487
8.595638382,9.645786843
6.938091858,8.72032232
7.475478627,8.758113591
6.421780741,4.460996775
8.6141508000000009,8.221590574
6.725025344,8.38546005
7.167082069,9.104827778
7.585358493,7.546818069
7.271856103,8.757057193
6.386154176,10.52268328
10.45195508,9.889663258
6.895164423,6.551906559
7.244773112,7.112218469
9.759695338,10.04698907
7.675646856,9.926586174
6.403866848,7.810408526
10.37629292,10.01324894
9.192065803,7.863017157
7.874742857,7.925586893
8.683118206,8.892169336
8.008276161,7.570412293
6.206676479,5.865815308
6.389736927,5.99898413
7.521570083,6.804657914
